id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
647,Harry Kane,22,1788,26,22.142261490225792,5,5.994267860427499,85,31,1,0,F M S,Bayern Munich,17,15.322271086275578,27.10759061574936,8.74185984954238
10408,Luis Díaz,21,1757,13,11.929724588990211,10,6.913056541234255,63,46,5,0,M S,Bayern Munich,13,11.929724588990211,26.09838394075632,9.600845554843545
10804,Deniz Undav,18,1362,12,11.154322635382414,3,2.760711643844843,79,19,4,0,F M S,VfB Stuttgart,12,11.154322635382414,17.094139754772186,4.734586945734918
3738,Serhou Guirassy,21,1661,11,12.440965201705694,1,1.6141925025731325,57,15,2,0,F S,Borussia Dortmund,10,10.167635168880224,11.952693022787571,2.659237602725625
9948,Michael Olise,21,1618,10,7.956701977178454,16,12.888819551095366,67,55,5,0,M S,Bayern Munich,10,7.956701977178454,28.63318382203579,12.63819219917059
13013,Haris Tabakovic,21,1566,10,10.816096261143684,2,1.277291039004922,44,10,0,0,F S,Borussia M.Gladbach,10,9.30054284632206,7.5371130388230085,1.3346241377294064
82,Nadiem Amiri,19,1577,9,6.884690515697002,2,4.044580318033695,36,44,6,0,F M S,Mainz 05,2,1.5802537985146046,6.511694794520736,4.171188188716769
956,Andrej Kramaric,22,1374,9,7.779934179037809,4,2.7397885071113706,43,24,1,0,F M S,Hoffenheim,6,5.506604235619307,10.720859166234732,4.769064899533987
7108,Jonathan Burkardt,10,700,8,7.348859392106533,0,0.22233903408050537,24,6,1,0,F S,Eintracht Frankfurt,7,6.591082714498043,7.656887866556644,2.015750363469124
7422,Christoph Baumgartner,21,1733,8,9.87022964656353,6,2.599376806989312,49,27,6,0,M S,RasenBallsport Leipzig,8,9.11245296150446,12.11609337106347,3.7806294206529856
13062,Mohammed Amoura,19,1307,8,7.761115715838969,2,3.149127174168825,46,20,2,0,F M S,Wolfsburg,7,7.003339038230479,10.864937797188759,3.1498454120010138
13561,Yan Diomande,21,1459,8,4.975791160017252,4,4.11139846406877,34,33,2,0,F M S,RasenBallsport Leipzig,8,4.975791160017252,16.765406504273415,9.291867926716805
1236,Patrik Schick,17,1211,7,9.21829953417182,2,1.5706447903066874,34,5,1,0,F S,Bayer Leverkusen,5,7.7027461640536785,8.911984853446484,2.033428410999477
6496,Ermedin Demirovic,13,837,7,4.95755410194397,1,0.8047635816037655,18,8,4,0,F S,VfB Stuttgart,6,4.19977742433548,5.687237992882729,1.4249329753220081
8137,Maximilian Beier,20,1150,7,5.236791908740997,3,2.3111210484057665,29,15,2,0,D F M S,Borussia Dortmund,7,5.236791908740997,9.841895082965493,2.5851753372699022
10113,Fisnik Asllani,21,1483,7,6.527610020712018,4,3.9512662142515182,46,23,1,0,F M S,Hoffenheim,7,6.527610020712018,13.415483795106411,3.8960618395358324
13911,Said El Mala,22,1024,7,7.052508668974042,2,1.5236676149070263,44,9,1,0,F M S,FC Cologne,7,7.052508668974042,9.369031116366386,1.5156270936131477
261,Julian Brandt,17,1088,6,4.191989528015256,2,2.723973287269473,25,20,0,0,F M S,Borussia Dortmund,6,4.191989528015256,8.490974163636565,3.1181211099028587
993,Serge Gnabry,17,1047,6,4.430128376930952,5,4.228637865744531,36,18,1,0,M S,Bayern Munich,6,4.430128376930952,12.403524473309517,6.556853532791138
4340,Grischa Prömel,22,1129,6,3.4201336950063705,2,1.3238463122397661,23,12,2,0,M S,Hoffenheim,6,3.4201336950063705,7.411434344947338,3.0834737941622734
5266,Vincenzo Grifo,22,1067,6,4.294989798218012,1,3.8732834942638874,19,27,0,0,M S,Freiburg,2,1.263963494449854,6.897467900067568,3.6540398970246315
8407,Tim Lemperle,18,1321,6,5.745641503483057,2,2.1172021199017763,35,19,1,0,F M S,Hoffenheim,5,4.987864796072245,8.458384685218334,2.045264083892107
10734,Jens Stage,20,1719,6,3.049191728234291,1,2.920257518067956,35,16,4,0,M,Werder Bremen,6,3.049191728234291,7.62536908686161,3.21358348056674
12954,Can Uzun,14,817,6,2.734463332220912,3,2.259539982303977,27,13,2,0,M S,Eintracht Frankfurt,5,1.9766866397112608,6.394031405448914,2.5789587572216988
13852,Rômulo,18,1369,6,9.496109191328287,3,2.1736482977867126,35,17,0,0,F M S,RasenBallsport Leipzig,6,9.496109191328287,13.917164612561464,3.382265416905284
7749,Rayan Philippe,19,999,5,5.086485832929611,0,1.16421427577734,31,13,2,0,F M S,Hamburger SV,5,4.328709125518799,5.604484042152762,1.1225422136485577
9718,Jamie Leweling,21,1580,5,2.882967710494995,6,3.6852805614471436,35,30,4,0,D M S,VfB Stuttgart,5,2.882967710494995,10.306875925511122,4.75212686881423
10732,Jakub Kaminski,22,1963,5,4.1239202581346035,1,3.2435151990503073,38,28,1,0,D F M,FC Cologne,5,4.1239202581346035,11.56571451202035,6.474506378173828
10772,Karim Adeyemi,20,940,5,3.4463917315006256,2,2.383684763684869,22,11,3,0,F M S,Borussia Dortmund,5,3.4463917315006256,8.813306666910648,3.7252686135470867
11227,Dzenan Pejcinovic,19,788,5,4.515467726625502,0,0.14192841202020645,27,3,1,0,F S,Wolfsburg,5,4.515467726625502,4.562110100872815,0.6520270556211472
11861,Stefan Schimmer,17,541,5,4.50679874420166,1,1.4713466260582209,26,10,1,0,F S,FC Heidenheim,5,4.50679874420166,6.794600125402212,1.3862062525004148
11866,Álex Grimaldo,17,1459,5,4.0805734265595675,4,4.219806637614965,32,32,4,0,D,Bayer Leverkusen,3,2.5650201607495546,11.523613050580025,8.35806980729103
12953,Igor Matanovic,19,640,5,5.406501714140177,1,0.944596579298377,26,7,0,0,F S,Freiburg,4,3.8909483067691326,4.334608376957476,0.47055627778172493
13857,Ernest Poku,19,1118,5,3.421281225979328,4,2.29408223554492,23,21,0,0,D M S,Bayer Leverkusen,5,3.421281225979328,7.9063791781663895,2.632981162518263
13866,Ilyas Ansah,22,1480,5,3.0925095668062568,1,1.3081056289374828,24,14,0,0,F M S,Union Berlin,5,3.0925095668062568,5.530622867867351,2.638851046562195
5251,Rani Khedira,21,1864,4,1.7238297052681446,0,1.6217375006526709,16,12,5,0,M,Union Berlin,4,1.7238297052681446,5.3879168927669525,2.8169978857040405
5256,Oliver Burke,20,1021,4,4.221441814675927,1,1.6330705657601357,24,15,2,0,F M S,Union Berlin,4,4.221441814675927,6.6929071843624115,1.688432663679123
8317,Edmond Tapsoba,17,1499,4,2.607442398555577,2,0.9179273508489132,18,7,3,0,D,Bayer Leverkusen,4,2.607442398555577,8.192015990614891,7.251610050909221
8791,Ritsu Doan,22,1865,4,3.4028477780520916,5,5.342343010008335,30,29,2,0,D F M,Eintracht Frankfurt,4,3.4028477780520916,10.539435287937522,5.193050244823098
8869,Ragnar Ache,21,1102,4,7.438077189028263,3,2.094767654314637,36,20,2,0,F S,FC Cologne,4,7.438077189028263,9.021506354212761,1.9824736239388585
8989,Ansgar Knauff,20,992,4,3.334427412599325,1,2.6085463538765907,26,16,2,0,F M S,Eintracht Frankfurt,4,3.334427412599325,8.318106705322862,3.146936694160104
9689,Albert Sambi Lokonga,16,1075,4,1.0194538366049528,0,1.0265113934874535,14,17,2,0,M S,Hamburger SV,4,1.0194538366049528,4.162484385073185,2.8640920110046864
9860,Malik Tillman,17,1265,4,3.003385240212083,1,2.9752110093832016,24,23,1,0,M S,Bayer Leverkusen,4,3.003385240212083,8.752640552818775,3.861290343105793
10585,Justin Njinmah,21,1234,4,4.396404454484582,0,0.7696740925312042,36,9,1,0,F M S,Werder Bremen,4,4.396404454484582,6.115170571953058,0.9670318653807044
10725,Danilho Doekhi,22,1980,4,3.366367867216468,0,0.5225567277520895,30,6,3,0,D,Union Berlin,4,3.366367867216468,2.933286029845476,2.1313659586012363
