Team,M_2025,W_2025,D_2025,L_2025,G_2025,GA_2025,PTS_2025,xG_2025,NPxG_2025,xGA_2025,NPxGA_2025,NPxGD_2025,xPTS_2025,M_2024,W_2024,D_2024,L_2024,G_2024,GA_2024,PTS_2024,xG_2024,NPxG_2024,xGA_2024,NPxGA_2024,NPxGD_2024,xPTS_2024,M_2023,W_2023,D_2023,L_2023,G_2023,GA_2023,PTS_2023,xG_2023,NPxG_2023,xGA_2023,NPxGA_2023,NPxGD_2023,xPTS_2023,M_2022,W_2022,D_2022,L_2022,G_2022,GA_2022,PTS_2022,xG_2022,NPxG_2022,xGA_2022,NPxGA_2022,NPxGD_2022,xPTS_2022,M_2021,W_2021,D_2021,L_2021,G_2021,GA_2021,PTS_2021,xG_2021,NPxG_2021,xGA_2021,NPxGA_2021,NPxGD_2021,xPTS_2021
Arminia Bielefeld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,5.0,13.0,16.0,27.0,53.0,28.0,27.224387,25.708908,69.665552,64.361262,-38.652353999999995,22.0246
Augsburg,22.0,7.0,4.0,11.0,25.0,39.0,25.0,26.902219,25.386658,42.438334,36.978064,-11.591406000000003,21.1554,34.0,11.0,10.0,13.0,35.0,51.0,43.0,39.127691999999996,37.61214,52.318146,48.529266,-10.917126000000003,40.0605,34.0,10.0,9.0,15.0,50.0,60.0,39.0,49.117294,43.812844,62.303412,54.725628,-10.912784000000002,39.045,34.0,9.0,7.0,18.0,42.0,63.0,34.0,36.026488,32.237606,65.073987,62.042892,-29.805286000000002,30.2344,34.0,10.0,8.0,16.0,39.0,56.0,38.0,38.950649,35.161756,65.0222095,61.2335535,-26.071797500000002,33.6577
Bayer Leverkusen,21.0,12.0,3.0,6.0,43.0,27.0,39.0,42.571991,39.540891,27.443517,25.170189999999998,14.370701000000004,37.8114,34.0,19.0,12.0,3.0,72.0,43.0,69.0,63.0382933,58.3201993,41.4342006,38.4030996,19.9170997,59.780499999999996,34.0,28.0,6.0,0.0,89.0,24.0,90.0,82.012582,75.950542,32.4277126,32.4277126,43.5228294,76.1687,34.0,14.0,8.0,12.0,57.0,49.0,50.0,53.683778,48.379346,46.781454000000004,41.477099,6.902246999999996,52.592800000000004,34.0,19.0,7.0,8.0,80.0,47.0,64.0,66.312395,61.765734,45.015163,41.98406,19.781674000000002,59.2304
Bayern Munich,22.0,18.0,3.0,1.0,82.0,19.0,57.0,69.0441,62.22411,23.346978,21.831421,40.392689000000004,55.4165,34.0,25.0,7.0,2.0,99.0,32.0,82.0,95.0171136,87.4393436,27.9874241,26.4718771,60.9674665,81.7996,34.0,23.0,3.0,8.0,94.0,45.0,72.0,94.400968,90.612098,35.2247951,32.1936951,58.418402900000004,76.98479999999999,34.0,21.0,8.0,5.0,92.0,38.0,71.0,85.118184,81.186204,37.0069594,29.4291834,51.757020600000004,71.9905,34.0,24.0,5.0,5.0,97.0,37.0,77.0,99.905525,96.116649,38.609638,37.094167,59.022482,78.8344
Bochum,,,,,,,,,,,,,,34.0,5.0,8.0,21.0,32.0,68.0,23.0,46.068472,43.647186,73.827218,69.046048,-25.398862,32.4289,34.0,7.0,12.0,15.0,42.0,74.0,33.0,51.4413994,48.4103194,70.176424,61.841041,-13.430721599999998,39.0548,34.0,10.0,5.0,19.0,40.0,72.0,35.0,40.076823,37.803497,69.436692,58.668673,-20.865175999999998,32.1599,34.0,12.0,6.0,16.0,38.0,52.0,42.0,44.781796,40.235229,58.17845,52.116231,-11.881002000000002,42.8655
Borussia Dortmund,22.0,15.0,6.0,1.0,47.0,20.0,51.0,41.594469,37.047809,26.26644,24.750887,12.296922000000002,40.7427,34.0,17.0,6.0,11.0,71.0,51.0,57.0,68.739448,64.192794,48.323153,45.292054,18.900740000000006,58.0861,34.0,18.0,9.0,7.0,68.0,43.0,63.0,71.164193,66.617703,55.270049,50.577973,16.039730000000006,56.8756,34.0,22.0,5.0,7.0,83.0,44.0,71.0,76.970559,72.423896,43.2308099,42.4730329,29.9508631,64.6901,34.0,22.0,3.0,9.0,85.0,52.0,69.0,65.64627899999999,57.310899,47.673329,43.126752,14.184146999999996,58.300000000000004
Borussia M.Gladbach,22.0,5.0,7.0,10.0,25.0,37.0,22.0,30.793627,26.246976,37.610081,35.336741,-9.089765000000003,26.2507,34.0,13.0,6.0,15.0,55.0,57.0,45.0,53.456988,49.553387,67.479124,61.245471,-11.692084000000001,40.2572,34.0,7.0,13.0,14.0,56.0,67.0,34.0,51.809607,47.262952,62.497652,57.951002,-10.688050000000004,41.3727,34.0,11.0,10.0,13.0,52.0,55.0,43.0,52.836938,48.290355,59.042868,54.496215,-6.205860000000001,44.2889,34.0,12.0,9.0,13.0,54.0,61.0,45.0,59.922025,54.617583,60.71194,56.923075,-2.305491999999994,49.7428
Darmstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,3.0,8.0,23.0,30.0,86.0,17.0,34.563018,32.289691,81.116326,79.60076600000001,-47.31107500000001,24.640800000000002,,,,,,,,,,,,,,,,,,,,,,,,,,
Eintracht Frankfurt,22.0,8.0,7.0,7.0,44.0,46.0,31.0,33.417117,31.143796,35.175469,32.902141,-1.758345000000002,29.9997,34.0,17.0,9.0,8.0,68.0,46.0,60.0,72.844922,69.056058,52.977842,50.704515,18.351542999999992,61.4076,34.0,11.0,14.0,9.0,51.0,50.0,47.0,51.637335,49.364005,55.25342,46.778633,2.5853719999999996,46.0495,34.0,13.0,11.0,10.0,58.0,52.0,50.0,53.198609,48.652109,44.526932,43.011372,5.6407370000000014,51.499900000000004,34.0,10.0,12.0,12.0,45.0,49.0,42.0,41.650022,40.134465,54.381781000000004,51.350674,-11.216209,39.6309
FC Cologne,22.0,6.0,5.0,11.0,31.0,37.0,23.0,33.11263,32.35485,41.944387,38.155491,-5.800640999999999,24.562,,,,,,,,,,,,,,34.0,5.0,12.0,17.0,28.0,60.0,27.0,44.33711,39.790613,71.809921,69.53658,-29.745967,32.6243,34.0,10.0,12.0,12.0,49.0,54.0,42.0,51.043044,48.011926,42.072048,38.28317,9.728756000000004,49.6716,34.0,14.0,10.0,10.0,52.0,49.0,52.0,52.300107,51.542407,53.092438,52.334668,-0.7922610000000034,49.0441
