Team,M_2025,W_2025,D_2025,L_2025,G_2025,GA_2025,PTS_2025,xG_2025,NPxG_2025,xGA_2025,NPxGA_2025,NPxGD_2025,xPTS_2025,M_2024,W_2024,D_2024,L_2024,G_2024,GA_2024,PTS_2024,xG_2024,NPxG_2024,xGA_2024,NPxGA_2024,NPxGD_2024,xPTS_2024,M_2023,W_2023,D_2023,L_2023,G_2023,GA_2023,PTS_2023,xG_2023,NPxG_2023,xGA_2023,NPxGA_2023,NPxGD_2023,xPTS_2023,M_2022,W_2022,D_2022,L_2022,G_2022,GA_2022,PTS_2022,xG_2022,NPxG_2022,xGA_2022,NPxGA_2022,NPxGD_2022,xPTS_2022,M_2021,W_2021,D_2021,L_2021,G_2021,GA_2021,PTS_2021,xG_2021,NPxG_2021,xGA_2021,NPxGA_2021,NPxGD_2021,xPTS_2021
Alaves,24.0,7.0,5.0,12.0,21.0,30.0,26.0,33.640045,30.666929,32.791903,30.562068,0.10486099999999965,33.4072,38.0,10.0,12.0,16.0,38.0,48.0,42.0,46.376934,38.2008841,51.489311,43.313262,-5.1123778999999985,49.9973,38.0,12.0,10.0,16.0,36.0,46.0,46.0,51.968164,46.765224,52.081662,46.135431,0.6297930000000065,50.7366,,,,,,,,,,,,,,38.0,8.0,7.0,23.0,31.0,65.0,31.0,38.464942,33.261998,63.569279,56.630093,-23.368095000000004,37.6023
Almeria,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,3.0,12.0,23.0,43.0,75.0,21.0,49.8956157,48.4090697,71.85109,65.138115,-16.729045299999996,38.275,38.0,11.0,8.0,19.0,49.0,65.0,41.0,46.0934429,43.8636189,69.263279,64.803619,-20.9400001,40.1576,,,,,,,,,,,,,
Athletic Club,24.0,9.0,4.0,11.0,27.0,34.0,31.0,36.514527,32.798258,29.024005,26.553434,6.244823999999998,37.9184,38.0,19.0,13.0,6.0,54.0,29.0,70.0,59.7016,55.241923,42.383939,38.582639,16.659284,62.190799999999996,38.0,19.0,11.0,8.0,61.0,37.0,68.0,61.638073,57.921823,42.0313477,38.3149517,19.6068713,62.9219,38.0,14.0,9.0,15.0,47.0,43.0,51.0,56.219087,51.016142,37.489504,35.25966,15.756482000000005,63.8384,38.0,14.0,13.0,11.0,43.0,36.0,55.0,57.013894,51.649441,39.28986,37.060023,14.589418000000002,62.794
Atletico Madrid,24.0,13.0,6.0,5.0,38.0,21.0,45.0,41.033161,38.803351,28.504031,27.017483,11.785868,41.1752,38.0,22.0,10.0,6.0,68.0,30.0,76.0,72.321551,67.118618,38.5613533,34.8449664,32.2736516,70.6597,38.0,24.0,4.0,10.0,70.0,43.0,76.0,69.831212,65.959282,43.455699,41.969139,23.990143000000003,69.8474,38.0,23.0,8.0,7.0,70.0,33.0,77.0,68.682282,67.939012,43.1932507,39.4768567,28.462155300000006,67.0221,38.0,21.0,8.0,9.0,65.0,43.0,71.0,59.446593,55.730203,35.767932,29.821711,25.908492000000003,69.0085
Barcelona,24.0,19.0,1.0,4.0,64.0,25.0,58.0,69.40374,64.20082000000001,35.104378,32.131258,32.069562000000005,51.896899999999995,38.0,28.0,4.0,6.0,102.0,39.0,88.0,99.465013,93.518773,42.980945,40.00784,53.510932999999994,83.468,38.0,26.0,7.0,5.0,79.0,44.0,85.0,81.758517,76.555592,45.437118,43.950574,32.605018,76.9609,38.0,28.0,4.0,6.0,70.0,20.0,88.0,82.79288,81.30632,33.339881,31.110052,50.196268,79.3073,38.0,21.0,10.0,7.0,68.0,38.0,73.0,70.54176100000001,65.338828,35.079571,32.84974,32.48908800000001,73.6018
Cadiz,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,6.0,15.0,17.0,26.0,55.0,33.0,37.979984,35.750147,57.833913,56.347353,-20.597206,42.5245,38.0,10.0,12.0,16.0,30.0,53.0,42.0,42.6836,38.967216,68.787519,61.354767,-22.387551000000002,39.9087,38.0,8.0,15.0,15.0,35.0,51.0,39.0,41.796888,37.211246,54.7431543,44.9190473,-7.7078013,44.1789
Celta Vigo,24.0,8.0,10.0,6.0,32.0,27.0,34.0,33.763252,29.303587,34.141496,28.086429,1.2171580000000013,34.5921,38.0,16.0,7.0,15.0,59.0,57.0,55.0,58.449949,51.760453,50.312621,47.198443,4.562010000000001,58.6582,38.0,10.0,11.0,17.0,46.0,57.0,41.0,56.390129,52.673738,60.06366,54.1177,-1.443961999999999,49.7714,38.0,11.0,10.0,17.0,43.0,53.0,43.0,42.246695,40.016857,49.237693,43.169932,-3.153075000000001,47.0392,38.0,12.0,10.0,16.0,43.0,43.0,46.0,44.937715,40.228477,46.117111,40.074859000000004,0.15361799999999448,51.23
Elche,24.0,5.0,10.0,9.0,31.0,35.0,25.0,29.896924000000002,29.153774,46.616165,43.643052,-14.489277999999999,25.1526,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,5.0,10.0,23.0,30.0,67.0,25.0,40.2900902,36.5736932,76.685911,69.253111,-32.6794178,34.7749,38.0,11.0,9.0,18.0,40.0,52.0,42.0,36.8147813,36.0715013,61.074821,54.355509,-18.284007699999997,35.6672
Espanyol,24.0,10.0,5.0,9.0,29.0,33.0,35.0,36.845384,33.872264,36.845372,33.872252,1.1999999998124622e-05,32.0045,38.0,11.0,9.0,18.0,40.0,51.0,42.0,38.677053,34.960671,59.024954,54.561334,-19.600663000000004,39.8187,,,,,,,,,,,,,,38.0,8.0,13.0,17.0,52.0,69.0,37.0,51.040796,47.324415,63.922914,59.290274,-11.965858999999995,44.8804,38.0,10.0,12.0,16.0,40.0,53.0,42.0,38.899524,35.18313,57.118355,53.401972,-18.218842000000002,40.0298
Getafe,24.0,8.0,5.0,11.0,20.0,28.0,29.0,20.753252,18.523421,29.866898,29.123616000000002,-10.600195000000003,26.9211,38.0,11.0,9.0,18.0,34.0,39.0,42.0,41.376937,37.660545,51.1201863,44.4306783,-6.770133299999998,45.7939,38.0,10.0,13.0,15.0,42.0,54.0,43.0,50.276839,45.073901,57.6502,52.447255,-7.373353999999999,46.2947,38.0,10.0,12.0,16.0,34.0,45.0,42.0,38.906434,32.960222,47.072269,41.126182,-8.165959999999998,44.6752,38.0,8.0,15.0,15.0,33.0,41.0,39.0,31.554126,27.712817,44.491887,41.518774,-13.805957,42.8733
