Team,M_2025,W_2025,D_2025,L_2025,G_2025,GA_2025,PTS_2025,xG_2025,NPxG_2025,xGA_2025,NPxGA_2025,NPxGD_2025,xPTS_2025,M_2024,W_2024,D_2024,L_2024,G_2024,GA_2024,PTS_2024,xG_2024,NPxG_2024,xGA_2024,NPxGA_2024,NPxGD_2024,xPTS_2024,M_2023,W_2023,D_2023,L_2023,G_2023,GA_2023,PTS_2023,xG_2023,NPxG_2023,xGA_2023,NPxGA_2023,NPxGD_2023,xPTS_2023,M_2022,W_2022,D_2022,L_2022,G_2022,GA_2022,PTS_2022,xG_2022,NPxG_2022,xGA_2022,NPxGA_2022,NPxGD_2022,xPTS_2022,M_2021,W_2021,D_2021,L_2021,G_2021,GA_2021,PTS_2021,xG_2021,NPxG_2021,xGA_2021,NPxGA_2021,NPxGD_2021,xPTS_2021
Arsenal,26.0,17.0,6.0,3.0,50.0,18.0,57.0,51.274081,48.990571,21.0316292,21.0316292,27.9589418,55.385799999999996,38.0,20.0,14.0,4.0,69.0,34.0,74.0,73.569905,72.047565,39.9798617,37.6963487,34.351216300000004,72.9622,38.0,28.0,5.0,5.0,91.0,29.0,89.0,84.392479,76.780829,31.7821254,29.4986174,47.2822116,81.9379,38.0,26.0,6.0,6.0,88.0,43.0,84.0,76.512308,73.467624,45.1633923,41.3575353,32.1100887,72.5338,38.0,22.0,3.0,13.0,61.0,48.0,69.0,63.391577,57.191476,48.389506,43.822492,13.368984000000005,64.76219999999999
Aston Villa,26.0,15.0,5.0,6.0,37.0,27.0,50.0,35.370431,35.370431,38.652535,37.130195,-1.759763999999997,32.8257,38.0,19.0,9.0,10.0,58.0,51.0,66.0,66.385246,61.710806000000005,54.998103,52.714603,8.996203000000008,61.5269,38.0,20.0,8.0,10.0,76.0,61.0,68.0,67.4225935,64.3779135,65.075812,63.432352,0.9455615000000037,55.4286,38.0,18.0,7.0,13.0,51.0,46.0,61.0,49.995345,46.950666,53.955537,49.244945,-2.294279000000003,54.3668,38.0,13.0,6.0,19.0,52.0,54.0,45.0,43.129543,40.846035,53.095725,48.417956,-7.571920999999996,46.2012
Bournemouth,26.0,9.0,10.0,7.0,43.0,45.0,37.0,45.012608,41.967938000000004,38.010282000000004,34.965642,7.002296000000001,41.4022,38.0,15.0,11.0,12.0,58.0,46.0,56.0,72.620869,67.292682,53.993587,50.948906,16.343776,65.0254,38.0,13.0,9.0,16.0,54.0,67.0,48.0,63.755446,61.471946,65.50767,60.020243,1.451703000000002,53.4701,38.0,11.0,6.0,21.0,37.0,71.0,39.0,40.083965,40.083965,67.602094,62.273909,-22.189944000000004,34.7342,,,,,,,,,,,,,
Brentford,26.0,12.0,4.0,10.0,40.0,35.0,40.0,46.495737,40.406401,38.224219,32.896037,7.510364000000003,40.2553,38.0,16.0,8.0,14.0,66.0,57.0,56.0,67.119797,62.552775,60.864798,60.103628,2.4491469999999964,54.9392,38.0,10.0,9.0,19.0,56.0,65.0,39.0,64.291682,62.008191000000004,60.260659,58.73832,3.269871000000002,52.9415,38.0,15.0,14.0,9.0,58.0,46.0,59.0,59.227045,53.137716,51.453067000000004,49.930727,3.206989,58.2648,38.0,13.0,7.0,18.0,48.0,56.0,46.0,52.889575,48.322585000000004,49.500452,45.694635,2.6279500000000056,55.9965
Brighton,26.0,7.0,10.0,9.0,34.0,34.0,31.0,38.612343,34.806502,39.707932,35.14092,-0.33441799999999944,35.0975,38.0,16.0,13.0,9.0,66.0,59.0,61.0,65.27687,59.948684,59.123991,52.273469,7.6752150000000015,57.2635,38.0,12.0,12.0,14.0,55.0,62.0,48.0,61.910402,57.222334,60.9371845,56.370177500000004,0.8521564999999924,54.4324,38.0,18.0,8.0,12.0,72.0,53.0,62.0,77.723422,73.156398,50.154518,43.977172,29.179225999999993,70.8574,38.0,12.0,15.0,11.0,42.0,44.0,51.0,49.567475,44.239313,47.211438,44.166798,0.07251500000000277,54.1822
Burnley,26.0,4.0,6.0,16.0,28.0,51.0,18.0,24.726358,23.204025,56.766326,52.199316,-28.995291,16.7151,,,,,,,,,,,,,,38.0,5.0,9.0,24.0,41.0,78.0,24.0,43.4420856,41.1585836,75.718305,70.390125,-29.231541399999998,33.6878,,,,,,,,,,,,,,38.0,7.0,14.0,17.0,34.0,53.0,35.0,41.1058913,39.5835523,60.22312,56.417304,-16.8337517,38.1035
Chelsea,26.0,12.0,8.0,6.0,47.0,30.0,44.0,54.297056,48.968867,39.063549,38.302382,10.666485000000002,43.1196,38.0,20.0,9.0,9.0,64.0,43.0,69.0,73.117289,69.311449,54.262188,49.695179,19.616269999999993,62.5617,38.0,18.0,9.0,11.0,77.0,63.0,63.0,80.881514,71.747502,62.600433,58.779351,12.968150999999999,64.1976,38.0,11.0,11.0,16.0,38.0,47.0,44.0,51.894923,49.611409,54.022507,53.261347,-3.649937999999999,52.282,38.0,21.0,11.0,6.0,76.0,33.0,74.0,69.297032,62.446512,35.1156242,30.5486102,31.8979018,73.3834
Crystal Palace,26.0,8.0,8.0,10.0,28.0,32.0,32.0,44.300841,40.494984,38.436977999999996,36.153464,4.341520000000003,39.1759,38.0,13.0,14.0,11.0,51.0,51.0,53.0,67.78077,64.736094,58.884335,57.361995,7.374098999999994,58.1567,38.0,13.0,10.0,15.0,57.0,58.0,49.0,53.935454,50.890788,57.9908326,55.707362599999996,-4.816574599999996,50.4563,38.0,11.0,12.0,15.0,40.0,49.0,45.0,40.723491,38.296407,51.626247,48.581565,-10.285157999999996,44.2397,38.0,11.0,15.0,12.0,50.0,46.0,48.0,48.843907,42.663892,41.3314426,38.2867746,4.377117399999996,58.15
Everton,26.0,10.0,7.0,9.0,29.0,30.0,37.0,33.578155,32.055815,40.521986,38.238476,-6.182660999999996,32.015299999999996,38.0,11.0,15.0,12.0,42.0,44.0,48.0,46.869415,45.347074,53.663086,52.140756,-6.793682000000004,47.6514,38.0,13.0,9.0,16.0,40.0,51.0,48.0,60.7541755,58.4706585,60.257092,54.167832,4.302826500000002,53.102,38.0,8.0,12.0,18.0,34.0,57.0,36.0,48.6498356,46.3663266,68.582862,64.015841,-17.649514399999994,40.7132,38.0,11.0,6.0,21.0,43.0,66.0,39.0,44.469731,39.14161,60.694247,59.171904,-20.030293999999998,43.538000000000004
Fulham,26.0,10.0,4.0,12.0,35.0,40.0,34.0,31.442343,29.920001,41.803952,39.520439,-9.600438000000004,28.1511,38.0,15.0,9.0,14.0,54.0,54.0,54.0,58.003414,54.958735,49.232539,46.187863,8.770871999999997,57.6028,38.0,13.0,8.0,17.0,55.0,61.0,47.0,52.8086955,51.2863585,66.904132,60.81479,-9.528431500000003,44.985,38.0,15.0,7.0,16.0,55.0,53.0,52.0,47.984977,41.1344488,71.490811,65.314288,-24.179839200000004,39.237,,,,,,,,,,,,,
Ipswich,,,,,,,,,,,,,,38.0,4.0,10.0,24.0,36.0,82.0,22.0,40.4205927,38.8982547,83.73264400000001,79.165634,-40.267379299999995,28.4466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leeds,26.0,7.0,9.0,10.0,36.0,45.0,30.0,40.284856,36.329026,40.195484,36.389641,-0.06061499999999853,38.1,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,7.0,10.0,21.0,48.0,78.0,31.0,47.795965,45.512455,69.581033,65.014027,-19.501571999999996,40.580799999999996,38.0,9.0,11.0,18.0,42.0,79.0,38.0,51.186082,47.380234,71.309612,67.503772,-20.123537999999996,43.8587
