id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
7490,Mason Greenwood,21,1680,14,10.723306320607662,4,5.161034249700606,73,38,1,0,M S,Marseille,9,6.162735514342785,17.008032192476094,9.456124189309776
12413,Joaquín Panichelli,22,1864,12,12.197168704122305,1,2.9524750281125307,48,21,3,0,F M S,Strasbourg,8,8.396693032234907,12.759652201086283,3.135547211393714
12850,Esteban Lepaul,22,1720,11,8.848319083452225,3,1.7183551508933306,53,12,1,0,F S,"Angers,Rennes",11,8.848319083452225,11.172145988792181,2.161249976605177
3799,Wesley Said,22,1578,10,9.17079421877861,2,4.826548447832465,41,20,2,0,M S,Lens,9,8.41069906949997,16.971397802233696,6.748986169695854
13735,Pavel Sulc,20,1238,9,7.207630645483732,3,2.644355747848749,36,14,2,0,F M S,Lyon,9,7.207630645483732,11.936793059110641,4.301450960338116
3226,Ousmane Dembélé,14,693,8,4.626935549080372,4,3.614583231508732,27,32,0,0,F S,Paris Saint Germain,6,2.346650116145611,7.402920447289944,3.5690568536520004
3697,Odsonne Edouard,18,1177,8,7.977007571607828,3,1.5526978969573975,29,11,1,0,F S,Lens,7,7.21691245213151,9.055057920515537,2.581338554620743
9656,Ilan Kebbal,21,1824,8,5.306021286174655,4,3.513580072671175,43,45,4,0,F M,Paris FC,5,3.0258015356957912,11.319384314119816,6.429642237722874
3721,Romain Del Castillo,20,1667,7,7.018018713220954,2,4.870666751638055,23,42,1,1,F M,Brest,1,0.9372576866298914,8.152138642966747,3.8414147524163127
6846,Sofiane Diop,21,1445,7,5.97848916053772,2,2.5279529113322496,42,22,4,0,F M S,Nice,5,4.458298861980438,10.03923948854208,4.472740707919002
7967,Anssumane Fati,14,528,7,8.932615861296654,0,0.9014446176588535,23,8,1,0,M S,Monaco,4,5.892235312610865,7.270625315606594,1.5841335728764534
