Team,M_2025,W_2025,D_2025,L_2025,G_2025,GA_2025,PTS_2025,xG_2025,NPxG_2025,xGA_2025,NPxGA_2025,NPxGD_2025,xPTS_2025,M_2024,W_2024,D_2024,L_2024,G_2024,GA_2024,PTS_2024,xG_2024,NPxG_2024,xGA_2024,NPxGA_2024,NPxGD_2024,xPTS_2024,M_2023,W_2023,D_2023,L_2023,G_2023,GA_2023,PTS_2023,xG_2023,NPxG_2023,xGA_2023,NPxGA_2023,NPxGD_2023,xPTS_2023,M_2022,W_2022,D_2022,L_2022,G_2022,GA_2022,PTS_2022,xG_2022,NPxG_2022,xGA_2022,NPxGA_2022,NPxGD_2022,xPTS_2022,M_2021,W_2021,D_2021,L_2021,G_2021,GA_2021,PTS_2021,xG_2021,NPxG_2021,xGA_2021,NPxGA_2021,NPxGD_2021,xPTS_2021
Ajaccio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,7.0,5.0,26.0,23.0,74.0,26.0,31.0596545,24.2187915,56.127001,48.52605,-24.3072585,33.1156,,,,,,,,,,,,,
Angers,22.0,8.0,5.0,9.0,22.0,27.0,29.0,22.199981,20.679781,36.377711,33.337322,-12.657541000000002,21.5409,34.0,10.0,6.0,18.0,32.0,53.0,36.0,39.6050678,35.0444979,64.624071,60.823609,-25.779111099999994,35.4624,,,,,,,,,,,,,,38.0,4.0,6.0,28.0,33.0,81.0,18.0,41.042115,38.001729,66.072039,57.711013,-19.709284000000004,34.0362,38.0,10.0,11.0,17.0,44.0,55.0,41.0,45.208287,38.367622,51.693048,47.89257,-9.524948000000002,48.9768
Auxerre,22.0,4.0,5.0,13.0,17.0,30.0,17.0,25.421974,21.62148,32.904434,31.384252,-9.762772000000002,26.3412,34.0,11.0,9.0,14.0,48.0,51.0,42.0,42.779614,38.979132,62.847633,56.76686,-17.787728,34.9451,,,,,,,,,,,,,,38.0,8.0,11.0,19.0,35.0,63.0,35.0,40.211781,33.37094,65.006299,60.322237,-26.951297000000004,37.7122,,,,,,,,,,,,,
Bordeaux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,6.0,13.0,19.0,52.0,91.0,31.0,46.281171,43.240801,69.822653,62.835556,-19.594755,38.2084
Brest,22.0,7.0,6.0,9.0,29.0,34.0,27.0,31.650537,25.569778,33.088681,31.568501,-5.998723000000002,31.2164,34.0,15.0,5.0,14.0,52.0,59.0,50.0,52.779534,45.938685,66.251218,58.650239,-12.711554,40.0824,34.0,17.0,10.0,7.0,53.0,34.0,61.0,51.950596,48.91022,40.682142999999996,38.266763,10.643457000000005,52.792,38.0,11.0,11.0,16.0,44.0,54.0,44.0,41.402568,35.321815,58.089889,51.249098000000004,-15.927283000000003,43.5232,38.0,13.0,9.0,16.0,49.0,57.0,48.0,44.84993,38.748986,60.571353,57.530963,-18.781976999999998,44.1762
Clermont Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,5.0,10.0,19.0,26.0,60.0,25.0,35.688644,29.607883,68.154363,61.26707,-31.659186999999996,29.6514,38.0,17.0,8.0,13.0,45.0,49.0,59.0,49.648372,42.047412,59.442018,50.178967,-8.131554999999999,47.7679,38.0,9.0,9.0,20.0,38.0,69.0,36.0,42.073548,39.656554,55.849804999999996,52.049345,-12.392791000000003,43.3755
Le Havre,22.0,6.0,8.0,8.0,20.0,27.0,26.0,23.879909,20.719346,33.533266,31.252979,-10.533632999999998,26.3259,34.0,10.0,4.0,20.0,40.0,71.0,34.0,45.350449,37.606101,68.948347,64.387767,-26.781665999999994,34.5691,34.0,7.0,11.0,16.0,34.0,45.0,32.0,39.053386,33.732773,55.303996,52.128865,-18.396091999999996,37.786100000000005,,,,,,,,,,,,,,,,,,,,,,,,,,
Lens,22.0,17.0,1.0,4.0,42.0,17.0,52.0,47.948917,44.148431,26.783186,22.692264,21.456167,43.3098,34.0,15.0,7.0,12.0,42.0,39.0,52.0,58.73616,54.93567,47.8693868,41.0082618,13.927408200000002,53.8696,34.0,14.0,9.0,11.0,45.0,37.0,51.0,62.082332,56.761662,49.458264,43.270300999999996,13.491361000000005,53.7465,38.0,25.0,9.0,4.0,68.0,29.0,84.0,69.926504,63.085614,44.5550406,42.2747506,20.810863400000002,69.4103,38.0,17.0,11.0,10.0,62.0,48.0,62.0,52.236102,48.435612,43.695332,39.894859,8.540753000000002,57.4965
Lille,22.0,10.0,4.0,8.0,35.0,31.0,34.0,38.519709999999996,35.47933,30.263202,27.828326,7.651003999999997,34.5969,34.0,17.0,9.0,8.0,52.0,36.0,60.0,60.436365,52.835418,45.7440953,42.7037113,10.131706699999995,56.6081,34.0,16.0,11.0,7.0,52.0,34.0,59.0,55.322634,52.907594,40.572437,36.758926,16.148668,55.306400000000004,38.0,19.0,10.0,9.0,65.0,44.0,67.0,74.234043,65.112966,42.0005373,38.2000653,26.9129007,75.0915,38.0,14.0,13.0,11.0,48.0,48.0,55.0,56.385907,52.585435000000004,36.96984,32.409284,20.176151000000004,66.8238
Lorient,22.0,8.0,7.0,7.0,29.0,33.0,31.0,31.408306,28.213325,32.4439362,27.8833662,0.3299588,28.6907,,,,,,,,,,,,,,34.0,7.0,8.0,19.0,43.0,66.0,29.0,38.959036,38.198946,61.001312,54.920551,-16.721605000000004,31.7485,38.0,15.0,10.0,13.0,52.0,53.0,55.0,47.346201300000004,42.785643300000004,60.973035,59.452835,-16.667191699999997,42.4301,38.0,8.0,12.0,18.0,35.0,63.0,36.0,39.317905,37.0376195,54.502119,49.941542999999996,-12.903923499999998,40.7338
Lyon,22.0,14.0,3.0,5.0,36.0,20.0,45.0,37.683381,35.403091,26.527687,24.887307,10.515784000000004,38.049,34.0,17.0,6.0,11.0,65.0,46.0,57.0,64.9817883,57.2519653,48.293517,46.013233,11.238732300000002,56.430299999999995,34.0,16.0,5.0,13.0,49.0,55.0,53.0,55.280172,52.239785,55.039197,50.478618,1.7611670000000004,48.0337,38.0,18.0,8.0,12.0,65.0,47.0,62.0,69.7853526,63.6164406,50.741084,42.380023,21.236417599999996,64.2248,38.0,17.0,11.0,10.0,66.0,51.0,62.0,73.319552,67.238935,54.6867642,48.4693482,18.7695868,64.9405
Marseille,22.0,12.0,4.0,6.0,48.0,29.0,40.0,44.949011,40.388441,31.927878,28.887757999999998,11.500683000000002,38.5591,34.0,20.0,5.0,9.0,74.0,47.0,65.0,68.844069,61.109787,51.46883,46.880336,14.229450999999997,56.2667,34.0,13.0,11.0,10.0,52.0,41.0,50.0,60.034438,56.994072,37.616625,35.336343,21.657729000000003,60.0629,38.0,22.0,7.0,9.0,67.0,40.0,73.0,72.943791,67.623113,45.303849,41.503502,26.119611000000006,70.972,38.0,21.0,8.0,9.0,63.0,38.0,71.0,59.869032,52.268095,42.793428,39.753043,12.515052000000004,63.1695
Metz,22.0,3.0,4.0,15.0,22.0,49.0,13.0,20.805554,17.005074,43.090695,37.770025,-20.764950999999996,16.9842,,,,,,,,,,,,,,34.0,8.0,5.0,21.0,35.0,58.0,29.0,34.369109,29.795496,58.866083,54.305517,-24.510021000000002,32.2174,,,,,,,,,,,,,,38.0,6.0,13.0,19.0,35.0,69.0,31.0,30.146002,29.385912,71.649718,67.849225,-38.463313,26.7061
Monaco,22.0,9.0,4.0,9.0,35.0,34.0,31.0,39.256966,35.321486,32.259697,28.459219,6.862266999999999,34.3947,34.0,18.0,7.0,9.0,63.0,41.0,61.0,76.925405,71.604726,38.3754573,36.0951733,35.5095527,70.0645,34.0,20.0,7.0,7.0,68.0,42.0,67.0,65.059735,61.151984,46.268658,41.708094,19.443889999999996,59.862700000000004,38.0,19.0,8.0,11.0,70.0,58.0,65.0,65.36142,59.138824,56.142576,52.342113,6.796711000000002,58.441,38.0,20.0,9.0,9.0,65.0,40.0,69.0,63.579939,56.739064,42.514577,35.6737335,21.0653305,66.0145
Montpellier,,,,,,,,,,,,,,34.0,4.0,4.0,26.0,23.0,79.0,16.0,38.452318,35.411938,73.82096,66.790623,-31.378684999999997,27.0165,34.0,10.0,12.0,12.0,43.0,48.0,42.0,50.62329,45.302613,56.837353,53.036896,-7.734282999999998,44.9384,38.0,15.0,5.0,18.0,65.0,62.0,50.0,52.555194,47.23459,67.2513874,59.650433400000004,-12.415843400000007,45.4173,38.0,12.0,7.0,19.0,49.0,61.0,43.0,42.46717,39.426777,57.504137,52.943567,-13.51679,43.2102
Nantes,22.0,3.0,5.0,14.0,20.0,40.0,14.0,23.2827,20.847166,37.974255,35.693957,-14.846790999999996,20.512,34.0,8.0,12.0,14.0,39.0,52.0,36.0,44.898711999999996,41.098237,60.059159,53.9784081,-12.880171100000005,40.1782,34.0,9.0,6.0,19.0,30.0,55.0,33.0,39.441578,35.641099,60.462876,52.861917,-17.220818,35.1017,38.0,7.0,15.0,16.0,37.0,55.0,36.0,44.621714,40.821299,58.406027,51.565172,-10.743872999999994,44.5752,38.0,15.0,10.0,13.0,55.0,48.0,55.0,45.768856,41.968386,53.532245,48.211578,-6.2431920000000005,45.4888
Nice,22.0,6.0,5.0,11.0,27.0,40.0,23.0,29.604813,28.084623,39.333076,34.012404000000004,-5.927781000000003,23.385,34.0,17.0,9.0,8.0,66.0,41.0,60.0,66.843629,62.28305,44.989006,42.708721,19.574329000000006,60.8416,34.0,15.0,10.0,9.0,40.0,29.0,55.0,54.814608,49.493932,36.494172,30.413404,19.080528,59.1291,38.0,15.0,13.0,10.0,48.0,37.0,58.0,59.223731,53.9030536,44.156889,40.250251,13.652802600000001,61.2752,38.0,20.0,7.0,11.0,52.0,36.0,67.0,59.5988032,51.9979232,44.948045,41.147557,10.850366200000003,61.8068
Paris FC,22.0,5.0,7.0,10.0,26.0,39.0,22.0,28.118752999999998,24.318353,38.478639,30.877699,-6.5593460000000015,24.4034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paris Saint Germain,22.0,16.0,3.0,3.0,49.0,19.0,51.0,47.315415,44.275036,21.208868,18.168493,26.106543,47.3348,34.0,26.0,6.0,2.0,92.0,35.0,84.0,103.633312,98.312652,36.393218,34.112921,64.199731,83.6591,34.0,22.0,10.0,2.0,81.0,33.0,76.0,72.88188,65.905911,45.7105,41.910008,23.995903000000006,65.1895,38.0,27.0,4.0,7.0,89.0,40.0,85.0,86.148923,81.588353,47.11387,43.225302,38.363051,74.014,38.0,26.0,8.0,4.0,90.0,36.0,86.0,82.335619,76.254841,38.000799,35.720509,40.534332,80.3875
Reims,,,,,,,,,,,,,,34.0,8.0,9.0,17.0,33.0,47.0,33.0,41.6288353,40.1086453,63.260511,59.460046,-19.3514007,34.0405,34.0,13.0,8.0,13.0,42.0,47.0,47.0,47.979395,44.939029,49.94507,44.624392,0.3146369999999976,45.205799999999996,38.0,12.0,15.0,11.0,45.0,45.0,51.0,59.523324,53.336448,54.96744,52.687153,0.6492949999999951,55.3495,38.0,11.0,13.0,14.0,43.0,44.0,46.0,40.006344999999996,35.299546,47.793921,42.453085,-7.153539000000002,46.1023
Rennes,22.0,9.0,7.0,6.0,34.0,35.0,34.0,34.0213222,32.5011342,39.788812,36.748414,-4.247279799999994,27.8871,34.0,13.0,2.0,19.0,51.0,50.0,41.0,53.796386,47.526149000000004,50.797893,46.13639,1.389759000000005,47.636,34.0,12.0,10.0,12.0,53.0,46.0,46.0,56.002965,47.5955,44.185813,41.905521,5.689979000000001,52.4497,38.0,21.0,5.0,12.0,69.0,39.0,68.0,64.238907,61.958630400000004,43.1419826,39.3415186,22.617111800000004,65.3268,38.0,20.0,6.0,12.0,82.0,40.0,66.0,68.241212,65.200822,43.766387,39.205812,25.99501,64.6719
Saint-Etienne,,,,,,,,,,,,,,34.0,8.0,6.0,20.0,39.0,77.0,30.0,40.491921,37.431277,84.02407600000001,72.345916,-34.914639,26.7788,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,7.0,11.0,20.0,42.0,77.0,32.0,40.182611,36.38213,64.76236,58.681601,-22.299471000000004,39.6884
Strasbourg,22.0,9.0,4.0,9.0,36.0,29.0,31.0,36.676141199999996,32.875675199999996,28.971131,25.930739,6.944936199999997,33.7055,34.0,16.0,9.0,9.0,56.0,44.0,57.0,53.814239,52.29404,61.778638,54.937776,-2.643735999999997,43.423,34.0,10.0,9.0,15.0,38.0,50.0,39.0,42.692336,39.651949,51.223539,47.423066,-7.771116999999997,40.5682,38.0,9.0,13.0,16.0,51.0,59.0,40.0,52.787029,47.191439,55.925718,47.564726,-0.3732869999999977,52.1902,38.0,17.0,12.0,9.0,60.0,43.0,63.0,61.201472,55.120717,44.678094,41.637713,13.483004000000001,63.4948
Toulouse,22.0,8.0,6.0,8.0,32.0,26.0,30.0,30.581296000000002,25.260631,28.369532200000002,25.3291562,-0.06852519999999984,32.2292,34.0,11.0,9.0,14.0,44.0,43.0,42.0,54.886473,51.846093,39.338261,37.818072,14.028021000000003,56.4767,34.0,11.0,10.0,13.0,42.0,46.0,43.0,44.845185,38.004325,49.258918,46.218521,-8.214196000000001,45.454,38.0,13.0,9.0,16.0,51.0,57.0,48.0,59.766288,56.725924,59.3306639,53.858525900000004,2.8673980999999955,55.4028,,,,,,,,,,,,,
Troyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,4.0,12.0,22.0,45.0,81.0,24.0,36.7108714,32.9103964,83.790438,77.709686,-44.7992896,25.5002,38.0,9.0,11.0,18.0,37.0,53.0,38.0,39.659017,34.338344,52.993854999999996,45.39323,-11.054886000000003,44.0927
