Team,M_2025,W_2025,D_2025,L_2025,G_2025,GA_2025,PTS_2025,xG_2025,NPxG_2025,xGA_2025,NPxGA_2025,NPxGD_2025,xPTS_2025,M_2024,W_2024,D_2024,L_2024,G_2024,GA_2024,PTS_2024,xG_2024,NPxG_2024,xGA_2024,NPxGA_2024,NPxGD_2024,xPTS_2024,M_2023,W_2023,D_2023,L_2023,G_2023,GA_2023,PTS_2023,xG_2023,NPxG_2023,xGA_2023,NPxGA_2023,NPxGD_2023,xPTS_2023,M_2022,W_2022,D_2022,L_2022,G_2022,GA_2022,PTS_2022,xG_2022,NPxG_2022,xGA_2022,NPxGA_2022,NPxGD_2022,xPTS_2022,M_2021,W_2021,D_2021,L_2021,G_2021,GA_2021,PTS_2021,xG_2021,NPxG_2021,xGA_2021,NPxGA_2021,NPxGD_2021,xPTS_2021
AC Milan,24.0,15.0,8.0,1.0,40.0,18.0,53.0,44.902034,39.572934000000004,25.730104,20.401008,19.171926000000003,45.9093,38.0,18.0,9.0,11.0,61.0,43.0,63.0,69.510141,63.419754,47.271499,45.748899,17.670854999999996,68.3978,38.0,22.0,9.0,7.0,76.0,49.0,75.0,71.855755,65.765357,47.731906,41.64151,24.123846999999998,69.3497,38.0,20.0,10.0,8.0,64.0,43.0,70.0,69.900789,66.094287,40.1094743,36.3029893,29.791297699999994,69.9381,38.0,26.0,8.0,4.0,69.0,31.0,86.0,67.338108,61.159034,34.63134,30.824845,30.334189,72.8156
Atalanta,25.0,11.0,9.0,5.0,34.0,21.0,42.0,46.479443,44.195543,34.969513,32.569333,11.62621,43.1235,38.0,22.0,8.0,8.0,78.0,37.0,74.0,79.871176,74.542077,42.3241641,40.8015641,33.740512900000006,75.2255,38.0,21.0,6.0,11.0,72.0,42.0,69.0,68.469533,64.663037,44.311952,37.36993,27.293107000000006,67.4364,38.0,19.0,7.0,12.0,66.0,48.0,64.0,60.4861998,54.2318698,45.011029,42.727125,11.504744799999997,61.739599999999996,38.0,16.0,11.0,11.0,65.0,48.0,59.0,68.722469,64.154709,46.5989073,42.0311223,22.123586699999997,64.4414
Bologna,25.0,9.0,6.0,10.0,34.0,32.0,33.0,34.787405,31.742207,35.7115087,33.4276087,-1.6854017,34.649,38.0,16.0,14.0,8.0,57.0,47.0,62.0,57.1841074,51.7673164,41.377235999999996,39.093335,12.673981399999995,61.8238,38.0,18.0,14.0,6.0,54.0,32.0,68.0,54.02535,50.218894,39.699453,34.370355,15.848538999999995,61.3969,38.0,14.0,12.0,12.0,53.0,49.0,54.0,45.286237,40.718442,55.543967,48.692269,-7.973827,45.8358,38.0,12.0,10.0,16.0,44.0,55.0,46.0,45.552172,41.745673,58.048438,51.063926,-9.318253000000006,43.8789
Cagliari,25.0,7.0,7.0,11.0,28.0,35.0,28.0,26.605366,25.844066,41.567443,40.806143,-14.962076999999997,24.9725,38.0,9.0,9.0,20.0,40.0,56.0,36.0,48.7316686,46.4477776,62.609234,58.041446,-11.593668399999999,43.0548,38.0,8.0,12.0,18.0,42.0,68.0,36.0,45.437945,40.870156,62.563959,58.757504,-17.887347999999996,41.0357,,,,,,,,,,,,,,38.0,6.0,12.0,20.0,34.0,68.0,30.0,40.741687,37.696503,68.555755,60.736273,-23.039769999999997,38.6176
Como,24.0,11.0,8.0,5.0,38.0,18.0,41.0,42.733967,38.159238,28.013641,24.968441,13.190797000000003,40.6935,38.0,13.0,10.0,15.0,49.0,52.0,49.0,49.755749,48.233154,50.107548,44.778459,3.454695000000001,51.3943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cremonese,25.0,5.0,9.0,11.0,21.0,33.0,24.0,26.583323,25.060723,46.481016,44.062151,-19.001428,22.8548,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,5.0,12.0,21.0,36.0,69.0,27.0,36.5921962,31.0704002,69.550874,65.744385,-34.67398479999999,32.5648,,,,,,,,,,,,,
Empoli,,,,,,,,,,,,,,38.0,6.0,13.0,19.0,33.0,59.0,31.0,38.3189804,36.035089400000004,52.790987,50.41583,-14.380740599999996,41.6747,38.0,9.0,9.0,20.0,29.0,54.0,36.0,38.061238,34.2547402,58.710505,52.620126,-18.3653858,39.4773,38.0,10.0,13.0,15.0,37.0,49.0,43.0,41.2468055,39.7242055,63.935968,59.368168,-19.6439625,39.2456,38.0,10.0,11.0,17.0,50.0,70.0,41.0,45.516915,40.187818,74.822021,67.209122,-27.021303999999994,36.6947
Fiorentina,25.0,4.0,9.0,12.0,29.0,39.0,21.0,39.438879,34.871091,40.337346000000004,36.53086,-1.6597689999999972,33.3411,38.0,19.0,8.0,11.0,60.0,41.0,65.0,54.110048,48.019656,46.762929,44.479041,3.5406149999999954,55.6134,38.0,17.0,9.0,12.0,61.0,46.0,60.0,58.105796,52.015393,54.96977,48.01482,4.000573000000003,55.7604,38.0,15.0,11.0,12.0,53.0,43.0,56.0,56.904232,52.336446,48.924312,42.833926,9.502520000000004,56.6454,38.0,19.0,5.0,14.0,59.0,51.0,62.0,62.040947,52.834581,45.2314932,41.3520442,11.482536799999998,61.5629
Frosinone,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,8.0,11.0,19.0,44.0,69.0,35.0,50.202488,42.589497,65.04762,58.879026,-16.289529,44.4904,,,,,,,,,,,,,,,,,,,,,,,,,,
Genoa,25.0,5.0,9.0,11.0,29.0,37.0,24.0,32.349013,27.781219,39.1617313,35.3552403,-7.574021299999998,29.1874,38.0,10.0,13.0,15.0,37.0,49.0,43.0,40.017332,38.347352,53.426219,47.335846,-8.988493999999996,43.4649,38.0,12.0,13.0,13.0,45.0,45.0,49.0,38.69294,33.950853,47.771867,44.635006,-10.684152999999995,44.3276,,,,,,,,,,,,,,38.0,4.0,16.0,18.0,27.0,60.0,28.0,38.5335928,33.2045418,60.1243856,56.3178956,-23.1133538,38.9279
